Annual,Pesticides - harmonised risk indicator 1 (all active substances),"Index, 2011-2013 average =100",Croatia,100.0,100.0,100.0,98.0,87.0,74.0,64.0,67.0,61.0,56.0,42.0,44.0
Annual,Pesticides - harmonised risk indicator 1 (all active substances),"Index, 2011-2013 average =100",Hungary,104.0,102.0,93.0,114.0,118.0,116.0,113.0,99.0,84.0,79.0,70.0,63.0
Annual,Pesticides - harmonised risk indicator 1 (all active substances),"Index, 2011-2013 average =100",Ireland,114.0,90.0,96.0,110.0,114.0,102.0,90.0,82.0,123.0,50.0,51.0,45.0
Annual,Pesticides - harmonised risk indicator 1 (all active substances),"Index, 2011-2013 average =100",Italy,114.0,101.0,84.0,90.0,101.0,98.0,95.0,89.0,82.0,66.0,56.0,46.0
Annual,Pesticides - harmonised risk indicator 1 (all active substances),"Index, 2011-2013 average =100",Lithuania,92.0,103.0,105.0,108.0,118.0,142.0,134.0,102.0,109.0,95.0,83.0,113.0
Annual,Pesticides - harmonised risk indicator 1 (all active substances),"Index, 2011-2013 average =100",Luxembourg,106.0,94.0,100.0,106.0,104.0,77.0,69.0,62.0,52.0,45.0,35.0,32.0
Annual,Pesticides - harmonised risk indicator 1 (all active substances),"Index, 2011-2013 average =100",Latvia,88.0,108.0,104.0,123.0,121.0,135.0,120.0,126.0,140.0,130.0,116.0,107.0
Annual,Pesticides - harmonised risk indicator 1 (all active substances),"Index, 2011-2013 average =100",Malta,89.0,101.0,110.0,94.0,115.0,77.0,87.0,78.0,68.0,78.0,68.0,63.0
Annual,Pesticides - harmonised risk indicator 1 (all active substances),"Index, 2011-2013 average =100",Netherlands,105.0,101.0,94.0,90.0,83.0,89.0,83.0,76.0,70.0,61.0,54.0,48.0
Annual,Pesticides - harmonised risk indicator 1 (all active substances),"Index, 2011-2013 average =100",Poland,107.0,97.0,96.0,103.0,108.0,105.0,101.0,93.0,107.0,71.0,64.0,52.0
Annual,Pesticides - harmonised risk indicator 1 (all active substances),"Index, 2011-2013 average =100",Portugal,112.0,103.0,85.0,107.0,89.0,102.0,80.0,67.0,71.0,61.0,60.0,54.0
Annual,Pesticides - harmonised risk indicator 1 (all active substances),"Index, 2011-2013 average =100",Romania,97.0,108.0,95.0,60.0,60.0,58.0,62.0,63.0,51.0,42.0,34.0,27.0
Annual,Pesticides - harmonised risk indicator 1 (all active substances),"Index, 2011-2013 average =100",Sweden,98.0,116.0,86.0,86.0,82.0,67.0,70.0,60.0,57.0,58.0,60.0,66.0
Annual,Pesticides - harmonised risk indicator 1 (all active substances),"Index, 2011-2013 average =100",Slovenia,107.0,106.0,87.0,95.0,97.0,103.0,94.0,99.0,73.0,68.0,64.0,58.0
Annual,Pesticides - harmonised risk indicator 1 (all active substances),"Index, 2011-2013 average =100",Slovakia,97.0,108.0,96.0,92.0,95.0,95.0,99.0,105.0,99.0,82.0,59.0,48.0
Annual,Pesticides - harmonised risk indicator 1 (all active substances),"Index, 2011-2013 average =100",United Kingdom,122.0,106.0,72.0,99.0,104.0,81.0,79.0,70.0,71.0,:,:,:
